PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025297,7.50E+12,VELO GREEN SPEARMINT 8 MG 20 PZ,20 Mexico,200 Mexico,M201,C20103,2542,UXMAL,0,0,0.25,18.32,18.32,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100021790,75019006,MARLBORO VISTA  CARIBBEAN 1 CAJETILLA,20 Mexico,200 Mexico,M203,C20301,1169,Calazada de los leones,0,0,1,68.97,68.97,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100080948,7.50E+12,ARTIGAS/CARL PURO MIX PLUS ROBUSTO G 50GR,20 Mexico,890 Quintana Roo,M900,C90001,3128,ATHIMAR,0,0,0.11,12.01,12.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024420,7.70E+12,VELO GREEN SPEARMINT 6 MG 15 PZ,20 Mexico,200 Mexico,M200,C20001,2039,Juan Salvador Agraz,0,0,0.18,10.01,10.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024417,7.70E+12,VELO STRAWBERRY ICE 4 MG 15 PZ,20 Mexico,890 Quintana Roo,M920,C92005,2617,XCALACOCO,0,0,0.54,30.94,30.94,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024420,7.70E+12,VELO GREEN SPEARMINT 6 MG 15 PZ,20 Mexico,890 Quintana Roo,M920,C92001,2778,SIEMPRE PLAYA,0,0,0.18,11.24,11.24,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025292,7.50E+12,VELO TROPICAL MANGO 8 MG 20 PZ,20 Mexico,890 Quintana Roo,M920,C92004,2888,PLAZA 300,0,0,0.5,37.5,37.5,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100080946,7.50E+12,GOLD SOFT PUROS HAB GOLD SOFT PZ,20 Mexico,800 Yucatan,M800,C80001,2945,CANICAB,0,0,0.04,5.36,5.36,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,200 Mexico,M203,C20303,1961,CENTRO SAN ANGEL,0,0,0.14,8.13,8.13,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019234,75074975,PALL MALL XL ALASKA 15S 1 CAJETILLA,20 Mexico,890 Quintana Roo,M890,C89002,2170,PUERTO MORELOS II,0,0,6.14,333.62,333.62,DESABASTO
